"Graph2CY"
"Time (sec)","Linear Displacement5 (mm)"
0,139.510972842825
0.04,139.5152109985
0.08,139.530128381011
0.12,139.554777223759
0.16,139.589009972565
0.2,139.632670534302
0.24,139.685602355694
0.28,139.747650530367
0.32,139.818661196957
0.36,139.898480777849
0.4,139.986956906322
0.44,140.083938689158
0.48,140.189275566498
0.52,140.302817509214
0.56,140.424415707913
0.6,140.553921645954
0.64,140.691186718723
0.68,140.836063065774
0.72,140.988403352558
0.76,141.14806003481
0.8,141.314885872043
0.84,141.488734246127
0.88,141.669458307681
0.92,141.856910987336
0.96,142.05094565447
1,142.251415677476
1.04,142.458174107183
1.08,142.671074353141
1.12,142.88997022029
1.16,143.114715268323
1.2,143.345163039055
1.24,143.581167341377
1.28,143.822581583996
1.32,144.069258603243
1.36,144.321051157117
1.4,144.577811670806
1.44,144.839391845905
1.48,145.105643068842
1.52,145.376416497437
1.56,145.651562504313
1.6,145.93093076321
1.64,146.214370611527
1.68,146.501730717475
1.72,146.792858991508
1.76,147.087603100888
1.8,147.385810450158
1.84,147.68732783232
1.88,147.992001653613
1.92,148.299678020213
1.96,148.610202233428
2,148.923418703529
2.04,149.239171216253
2.08,149.5573026815
2.12,149.877654929613
2.16,150.200069026053
2.2,150.52438525882
2.24,150.850442772399
2.28,151.178079672619
2.32,151.507133212018
2.36,151.837439544403
2.4,152.168833761334
2.44,152.501150293799
2.48,152.834222904994
2.52,153.167884541956
2.56,153.501967547972
2.6,153.836303655134
2.64,154.170723599937
2.68,154.505057060962
2.72,154.839132759368
2.76,155.172778220207
2.8,155.505819669584
2.84,155.838082265471
2.88,156.169390051934
2.92,156.499565733076
2.96,156.828430773146
3,157.155805478027
3.04,157.481508828564
3.08,157.805358587151
3.12,158.127171625462
3.16,158.446763969339
3.2,158.76395080734
3.24,159.07854670326
3.28,159.390365569163
3.32,159.699220391295
3.36,160.004923171922
3.4,160.307284918628
3.44,160.606115429366
3.48,160.901223245625
3.52,161.192415821868
3.56,161.479499496141
3.6,161.762279387176
3.64,162.04055949991
3.68,162.314142770836
3.72,162.582830989042
3.76,162.846424955939
3.8,163.104724785123
3.84,163.357530036166
3.88,163.604639868421
3.92,163.845853289923
3.96,164.080969182897
4,164.309786157161
4.04,164.532102516146
4.08,164.747716201782
4.12,164.956424629375
4.16,165.158024686808
4.2,165.352312880936
4.24,165.539085370949
4.28,165.718137993232
4.32,165.889266405556
4.36,166.052266162038
4.4,166.206932738562
4.44,166.353061745888
4.48,166.490449239627
4.52,166.618891959768
4.56,166.738187614902
4.6,166.848135192026
4.64,166.948535076057
4.68,167.039189034326
4.72,167.119900221597
4.76,167.190473122598
4.8,167.250713437583
4.84,167.300428101841
4.88,167.339425410631
4.92,167.367515105507
4.96,167.384508485244
5,167.390218571915
