"Graph2CZ"
"Time (sec)","Linear Displacement6 (mm)"
0,67.4337876487252
0.04,67.4354754094651
0.08,67.4361079355905
0.12,67.437183017778
0.16,67.4386629290492
0.2,67.440525387567
0.24,67.4427483202819
0.28,67.4453040179939
0.32,67.4481611272884
0.36,67.451287403736
0.4,67.4546465408936
0.44,67.4581973639601
0.48,67.4618976529047
0.52,67.4657033604826
0.56,67.4695662499589
0.6,67.4734369262195
0.64,67.4772661656086
0.68,67.4810021463786
0.72,67.48459126315
0.76,67.4879806809115
0.8,67.4911165727431
0.84,67.4939430425851
0.88,67.4964048746556
0.92,67.4984474106911
0.96,67.5000143385647
1,67.5010491620671
1.04,67.5014963393944
1.08,67.5012991080717
1.12,67.5003994322277
1.16,67.4987401178455
1.2,67.4962639965874
1.24,67.492912939829
1.28,67.4886299766419
1.32,67.483359845728
1.36,67.4770474287776
1.4,67.4696386533323
1.44,67.461081839113
1.48,67.4513263974509
1.52,67.440322545631
1.56,67.4280230398146
1.6,67.4143828190679
1.64,67.3993578068942
1.68,67.3829059839505
1.72,67.3649877315618
1.76,67.3455642724589
1.8,67.32459781157
1.84,67.3020526799752
1.88,67.2778945982165
1.92,67.2520903584389
1.96,67.2246093668368
2,67.1954238913946
2.04,67.1645082517193
2.08,67.1318396766592
2.12,67.0973990234713
2.16,67.0611698461101
2.2,67.0231384513335
2.24,66.9832950106823
2.28,66.9416331743665
2.32,66.8981494519247
2.36,66.8528439697161
2.4,66.8057203991066
2.44,66.7567847878205
2.48,66.7060456652777
2.52,66.6535145563073
2.56,66.5992053314763
2.6,66.5431342011304
2.64,66.4853208543479
2.68,66.4257886184813
2.72,66.3645641588515
2.76,66.3016782633345
2.8,66.2371662319167
2.84,66.1710672343948
2.88,66.1034244850225
2.92,66.0342859249438
2.96,65.9637038706488
3,65.8917347161028
3.04,65.8184394179946
3.08,65.743883186229
3.12,65.668134537887
3.16,65.5912652315236
3.2,65.5133502975447
3.24,65.4344674075975
3.28,65.3546969329963
3.32,65.2741227290819
3.36,65.1928322615064
3.4,65.1109166160463
3.44,65.0284711699519
3.48,64.9455957815379
3.52,64.8623943270325
3.56,64.7789748203608
3.6,64.695449716126
3.64,64.6119355385448
3.68,64.5285526741186
3.72,64.4454255511446
3.76,64.3626821241079
3.8,64.2804529694028
3.84,64.1988709095612
3.88,64.1180705735788
3.92,64.0381876382189
3.96,63.9593587065843
4,63.8817216742735
4.04,63.8054157396358
4.08,63.7305814926423
4.12,63.6573613716448
4.16,63.585899654246
4.2,63.5163420164593
4.24,63.4488354250258
4.28,63.3835280217835
4.32,63.3205686032013
4.36,63.2601062801714
4.4,63.2022902831158
4.44,63.1472692158807
4.48,63.0951900496296
4.52,63.0461973614359
4.56,63.0004324467102
4.6,62.958032336856
4.64,62.9191293604201
4.68,62.8838510773035
4.72,62.8523201278498
4.76,62.824654276265
4.8,62.8009666552338
4.84,62.7813656404947
4.88,62.7659544330724
4.92,62.7548307651441
4.96,62.7480865113106
5,62.7458070969056
