"Graph2DY"
"Time (sec)","Linear Displacement3 (mm)"
0,136.521945685649
0.04,136.52910187793
0.08,136.558958716394
0.12,136.608260546276
0.16,136.676730225182
0.2,136.764056666864
0.24,136.869925018636
0.28,136.994025138536
0.32,137.136049254487
0.36,137.295688908813
0.4,137.472638917436
0.44,137.666598552149
0.48,137.877266965972
0.52,138.10434415309
0.56,138.347533908584
0.6,138.606540145871
0.64,138.881065429415
0.68,139.17081449711
0.72,139.475493444052
0.76,139.794806781533
0.8,140.128459656142
0.84,140.476159253243
0.88,140.837611419711
0.92,141.212520829079
0.96,141.600593772165
1,142.001536444666
1.04,142.415053719964
1.08,142.840851973811
1.12,143.27863929095
1.16,143.728122933395
1.2,144.189010359877
1.24,144.661010468057
1.28,145.143830978358
1.32,145.637177815964
1.36,146.140757168539
1.4,146.654274503806
1.44,147.177433040894
1.48,147.709935456451
1.52,148.251484295315
1.56,148.80177981506
1.6,149.360520421376
1.64,149.927404191226
1.68,150.502127598257
1.72,151.084385202529
1.76,151.673871732168
1.8,152.270282028426
1.84,152.873309696
1.88,153.48264804934
1.92,154.097990511246
1.96,154.719028676791
2,155.345452031404
2.04,155.976949040115
2.08,156.61320618233
2.12,157.253907175368
2.16,157.898734237567
2.2,158.547368073667
2.24,159.199486496906
2.28,159.854764902975
2.32,160.512877046868
2.36,161.173494130755
2.4,161.836284974187
2.44,162.500917580194
2.48,163.167059106642
2.52,163.834375301425
2.56,164.502531342597
2.6,165.171191838079
2.64,165.840019386761
2.68,166.508674378155
2.72,167.176815399895
2.76,167.844098334128
2.8,168.51017596905
2.84,169.174698879888
2.88,169.83731526261
2.92,170.497670100771
2.96,171.155405581366
3,171.810161435835
3.04,172.461574334903
3.08,173.109278298456
3.12,173.75290591368
3.16,174.392088474757
3.2,175.026455986901
3.24,175.655637940809
3.28,176.279263199797
3.32,176.896958976428
3.36,177.508350616554
3.4,178.113061548016
3.44,178.710712456912
3.48,179.300921076826
3.52,179.883302770515
3.56,180.457470377338
3.6,181.023033801591
3.64,181.579600378501
3.68,182.126775018391
3.72,182.664159886851
3.76,183.1913549427
3.8,183.707958962963
3.84,184.213569939674
3.88,184.707785541064
3.92,185.190203918896
3.96,185.660423708419
4,186.11804341235
4.04,186.56266119603
4.08,186.993874596897
4.12,187.411279820416
4.16,187.814471614414
4.2,188.203043661554
4.24,188.576588559129
4.28,188.934697773772
4.32,189.276962033479
4.36,189.602971473384
4.4,189.912315598625
4.44,190.204583906099
4.48,190.47936683066
4.52,190.736256417902
4.56,190.974847145248
4.6,191.194736832947
4.64,191.395526882511
4.68,191.576822044671
4.72,191.738230268072
4.76,191.879362323141
4.8,191.999831212607
4.84,192.099252045699
4.88,192.177242276498
4.92,192.233421802154
4.96,192.267413155996
5,192.278841911134
