"Graph2DZ"
"Time (sec)","Linear Displacement4 (mm)"
0,134.867575297453
0.04,134.869392301541
0.08,134.870684695728
0.12,134.872841453182
0.16,134.875808576796
0.2,134.879542569061
0.24,134.883996400759
0.28,134.889114159761
0.32,134.894833174883
0.36,134.901086881779
0.4,134.907801977061
0.44,134.914897832918
0.48,134.922290374229
0.52,134.929891514327
0.56,134.937607046596
0.6,134.945339752334
0.64,134.952990877812
0.68,134.96045761731
0.72,134.967634067465
0.76,134.974413890391
0.8,134.980688758393
0.84,134.986347446581
0.88,134.991278684504
0.92,134.995371198039
0.96,134.998511672052
1,135.000586340082
1.04,135.001482260625
1.08,135.001085287053
1.12,134.999280126734
1.16,134.995952577228
1.2,134.990988831896
1.24,134.984274594044
1.28,134.975697326443
1.32,134.965146937996
1.36,134.952514306064
1.4,134.937692300426
1.44,134.92057727763
1.48,134.901067859437
1.52,134.879064734742
1.56,134.854472558032
1.6,134.827199696959
1.64,134.797157082761
1.68,134.764259424079
1.72,134.728425667034
1.76,134.689577435179
1.8,134.64763924159
1.84,134.602539775617
1.88,134.554211193286
1.92,134.502588839764
1.96,134.447612978434
2,134.389229144596
2.04,134.327387343531
2.08,134.262043051846
2.12,134.193158082947
2.16,134.120699642511
2.2,134.044640455962
2.24,133.964960075065
2.28,133.881644535765
2.32,133.794685740559
2.36,133.704082372761
2.4,133.609839884037
2.44,133.511969224618
2.48,133.410486993346
2.52,133.305416056851
2.56,133.196784843518
2.6,133.084627364905
2.64,132.968984564841
2.68,132.849904553861
2.72,132.727442302745
2.76,132.601660594192
2.8,132.472630522466
2.84,132.340430778966
2.88,132.205147890264
2.92,132.06687706703
2.96,131.925721833989
3,131.781793712514
3.04,131.635212832225
3.08,131.486107584528
3.12,131.334613485909
3.16,131.180873082024
3.2,131.025035964338
3.24,130.867257977265
3.28,130.707701258988
3.32,130.546535179638
3.36,130.383936479497
3.4,130.22008925692
3.44,130.055185770055
3.48,129.889426641449
3.52,129.723020240626
3.56,129.556182785948
3.6,129.389138679452
3.64,129.222119994955
3.68,129.055366162467
3.72,128.889124131789
3.76,128.723647641378
3.8,128.559195965942
3.84,128.396033312208
3.88,128.234428118325
3.92,128.074651932044
3.96,127.916979098623
4,127.761687078035
4.04,127.609056304019
4.08,127.459370136867
4.12,127.312915284848
4.16,127.169981611637
4.2,127.030861368262
4.24,126.895848848441
4.28,126.765240029962
4.32,126.639331681804
4.36,126.518420699705
4.4,126.40280362278
4.44,126.292775409471
4.48,126.188627848273
4.52,126.090648270574
4.56,125.999118082245
4.6,125.914311161409
4.64,125.836492974633
4.68,125.765920192387
4.72,125.702840195848
4.76,125.647490841061
4.8,125.600100487123
4.84,125.560887525545
4.88,125.530059514394
4.92,125.507812474826
4.96,125.494330065816
5,125.489782495818
