"Graph2EY"
"Time (sec)","Linear Displacement1 (mm)"
0,71.8864627267157
0.04,71.8907538484356
0.08,71.9161232177302
0.12,71.9612171704199
0.16,72.026681790054
0.2,72.114612996358
0.24,72.2239181465239
0.28,72.3526764087478
0.32,72.4991346873831
0.36,72.6594247968144
0.4,72.8331693656288
0.44,73.0227999394981
0.48,73.2291166248634
0.52,73.4540460092615
0.56,73.6987659010865
0.6,73.9616992643266
0.64,74.2412762303333
0.68,74.5344195144577
0.72,74.8384192599271
0.76,75.1543337862374
0.8,75.4834223380098
0.84,75.8270088833509
0.88,76.1873896574073
0.92,76.5645774802459
0.96,76.9571554370046
1,77.3629465278678
1.04,77.7785576822969
1.08,78.2028939928005
1.12,78.6369247572385
1.16,79.0816048383112
1.2,79.5391326862016
1.24,80.011152911589
1.28,80.4971083485004
1.32,80.9954779190448
1.36,81.5033153280399
1.4,82.0179187044507
1.44,82.5390046906162
1.48,83.067149789815
1.52,83.6038717652132
1.56,84.1515865401778
1.6,84.711138192837
1.64,85.2817735338791
1.68,85.8614550896096
1.72,86.4470653290275
1.76,87.0367913724082
1.8,87.6304418267481
1.84,88.2287346206789
1.88,88.8338246665902
1.92,89.4476915518588
1.96,90.0706388011532
2,90.7015851952293
2.04,91.3379108447624
2.08,91.9768080447674
2.12,92.6169442300747
2.16,93.2581594898936
2.2,93.9017503084278
2.24,94.5500760126363
2.28,95.2045946021472
2.32,95.8652901820435
2.36,96.530586256289
2.4,97.1976436695979
2.44,97.8640940035501
2.48,98.5287900720872
2.52,99.1919264866494
2.56,99.8553341337203
2.6,100.521145620529
2.64,101.19038058238
2.68,101.862600515414
2.72,102.535684089298
2.76,103.206813923128
2.8,103.873887701217
2.84,104.535982748137
2.88,105.193871019471
2.92,105.84964396204
2.96,106.505148368475
3,107.161078865528
3.04,107.816497899367
3.08,108.468955377798
3.12,109.115763831257
3.16,109.755003674106
3.2,110.386174600037
3.24,111.01055231095
3.28,111.630205971535
3.32,112.24669343387
3.36,112.860288625032
3.4,113.469516950404
3.44,114.071747693993
3.48,114.66439535424
3.52,115.245815731198
3.56,115.816067620381
3.6,116.376767659477
3.64,116.929906140067
3.68,117.476776024516
3.72,118.017157361117
3.76,118.549137562887
3.8,119.069978880971
3.84,119.577197087044
3.88,120.069544819958
3.92,120.547579236284
3.96,121.013084173632
4,121.467943797934
4.04,121.913116776903
4.08,122.347887436424
4.12,122.77004494055
4.16,123.176826672792
4.2,123.565998515542
4.24,123.936840418529
4.28,124.29033207507
4.32,124.62836535895
4.36,124.952666562735
4.4,125.26374224104
4.44,125.560367416861
4.48,125.840041685534
4.52,126.0999786377
4.56,126.338260707933
4.6,126.554660098284
4.64,126.750490798336
4.68,126.927743767229
4.72,127.087969371565
4.76,127.231278943116
4.8,127.356114112945
4.84,127.459862226955
4.88,127.539927234538
4.92,127.594874572403
4.96,127.624967635531
5,127.631798884793
