"Graph2EZ"
"Time (sec)","Linear Displacement2 (mm)"
0,136.237554372936
0.04,136.112900718133
0.08,135.853430649869
0.12,135.52172722451
0.16,135.054222352224
0.2,134.543785898332
0.24,134.137186264073
0.28,133.812513749056
0.32,133.578486447341
0.36,133.553522053045
0.4,133.72427597486
0.44,133.997873905317
0.48,134.395684947166
0.52,134.903379897487
0.56,135.385298178775
0.6,135.786660854544
0.64,136.119620431423
0.68,136.302053775838
0.72,136.275630243951
0.76,136.101812072952
0.8,135.805457455522
0.84,135.371393122924
0.88,134.884210205105
0.92,134.441555535813
0.96,134.055593793895
1,133.769163927304
1.04,133.664920131978
1.08,133.737573471753
1.12,133.945596751009
1.16,134.297014817374
1.2,134.756690472277
1.24,135.22667949092
1.28,135.65710537846
1.32,136.020695334431
1.36,136.24276937028
1.4,136.280892545447
1.44,136.159731794638
1.48,135.886677038039
1.52,135.468291870185
1.56,134.975183598581
1.6,134.480600022794
1.64,134.018929383578
1.68,133.647458589982
1.72,133.432190678558
1.76,133.381797672841
1.8,133.484573652576
1.84,133.742365559464
1.88,134.117190575624
1.92,134.535243213217
1.96,134.946077839594
2,135.302464318046
2.04,135.535069961208
2.08,135.603347361435
2.12,135.506647661791
2.16,135.24207485101
2.2,134.822552206444
2.24,134.304571715806
2.28,133.748382273345
2.32,133.200943981639
2.36,132.7252112033
2.4,132.381174878385
2.44,132.19141215212
2.48,132.163028536446
2.52,132.297935364278
2.56,132.563472743391
2.6,132.902236269113
2.64,133.263324245507
2.68,133.590482283344
2.72,133.817348662374
2.76,133.899670111079
2.8,133.819051764324
2.84,133.564393314323
2.88,133.146562324204
2.92,132.609116269639
2.96,132.003825873255
3,131.383260595064
3.04,130.812029205038
3.08,130.349301297647
3.12,130.029603927406
3.16,129.873343411868
3.2,129.886827117803
3.24,130.046249923944
3.28,130.306707321312
3.32,130.618791688355
3.36,130.923457054122
3.4,131.155916624602
3.44,131.266713593019
3.48,131.224540464257
3.52,131.010405572855
3.56,130.628745006736
3.6,130.111238848378
3.64,129.502372988517
3.68,128.85548207227
3.72,128.234674887959
3.76,127.700226439116
3.8,127.296266535267
3.84,127.053620143924
3.88,126.985551258612
3.92,127.078499767955
3.96,127.298368323401
4,127.599475299969
4.04,127.923719123007
4.08,128.207527516597
4.12,128.39661050779
4.16,128.449889199162
4.2,128.340402620967
4.24,128.064007427567
4.28,127.641105667858
4.32,127.108586891871
4.36,126.517100957245
4.4,125.928650648804
4.44,125.404638597521
4.48,124.996460625775
4.52,124.743529261196
4.56,124.667218880584
4.6,124.764551808086
4.64,125.01160997188
4.68,125.368342616579
4.72,125.779975206419
4.76,126.184500887573
4.8,126.523910970324
4.84,126.749508272905
4.88,126.826365778574
4.92,126.740785501186
4.96,126.502073356753
5,126.13858997543
