"G3CY"
"Time (sec)","Velocity5 (mm/sec)"
0,0
0.04,0.250842311135308
0.08,0.495239774226173
0.12,0.736742908229779
0.16,0.974402235554658
0.2,1.20813597317327
0.24,1.43797199176585
0.28,1.66395629717561
0.32,1.88609677504722
0.36,2.10440609540903
0.4,2.31892982032536
0.44,2.52968875448114
0.48,2.73668574794467
0.52,2.9399473958823
0.56,3.13949850461477
0.6,3.33533348197964
0.64,3.52745846646268
0.68,3.71589891234151
0.72,3.90065405448979
0.76,4.08171969978156
0.8,4.25911471259005
0.84,4.43284496789773
0.88,4.60289800226798
0.92,4.76927826189383
0.96,4.93199697433276
1,5.09104451519842
1.04,5.24641895768408
1.08,5.39813693935874
1.12,5.54619858980886
1.16,5.69059588057332
1.2,5.83133632865027
1.24,5.9684206375466
1.28,6.10183115826857
1.32,6.23155988127918
1.36,6.3576067712801
1.4,6.47995509059039
1.44,6.5985891303544
1.48,6.71350719568242
1.52,6.8246964113389
1.56,6.93213378045034
1.6,7.03580855417663
1.64,7.13571085576635
1.68,7.23181871380929
1.72,7.32411897191041
1.76,7.41260979995122
1.8,7.49727861941735
1.84,7.57811036154615
1.88,7.6551000430015
1.92,7.72823470146659
1.96,7.79748937818692
2,7.86284602773029
2.04,7.92428863986411
2.08,7.9817899344443
2.12,8.03532568110518
2.16,8.08488011700921
2.2,8.13042854033739
2.24,8.17194090350385
2.28,8.20939554851645
2.32,8.24276917377261
2.36,8.27203168115534
2.4,8.29716170157838
2.44,8.31814541215437
2.48,8.3349628158361
2.52,8.34759499569671
2.56,8.35602957769104
2.6,8.3602466370905
2.64,8.36021806129595
2.68,8.35591972105732
2.72,8.34732603876001
2.76,8.33440356796342
2.8,8.31712236759588
2.84,8.29545749268105
2.88,8.26937744904289
2.92,8.23884840533955
2.96,8.20384196366893
3,8.1643272942845
3.04,8.12027034619312
3.08,8.07164517591033
3.12,8.01843169009398
3.16,7.96060769484716
3.2,7.89815463178337
3.24,7.83105867637991
3.28,7.75930002621959
3.32,7.68285338769317
3.36,7.60169498695189
3.4,7.51579775920758
3.44,7.42512913541069
3.48,7.32965981400456
3.52,7.22936366890488
3.56,7.12421074728823
3.6,7.01417110156599
3.64,6.89921858904445
3.68,6.77932526535518
3.72,6.65446283755818
3.76,6.52461073046431
3.8,6.38975421648715
3.84,6.24988052976974
3.88,6.10498298130148
3.92,5.95505967983175
3.96,5.80010558205059
4,5.64011280080187
4.04,5.4750737560205
4.08,5.30497735724742
4.12,5.12980913536587
4.16,4.94955777531794
4.2,4.76421488692729
4.24,4.57377148769567
4.28,4.37822102405955
4.32,4.17756071606559
4.36,3.97178788521711
4.4,3.76090214818002
4.44,3.5449109366996
4.48,3.32382861860747
4.52,3.09767531321068
4.56,2.86647952590271
4.6,2.630275855319
4.64,2.38909915048706
4.68,2.1429839396115
4.72,1.89196478327473
4.76,1.63607332684847
4.8,1.37533930311389
4.84,1.10979510625492
4.88,0.839476049429002
4.92,0.564419263039962
4.96,0.284665754768574
5,0.000260338991608034
