"G3CZ"
"Time (sec)","Velocity6 (mm/sec)"
0,0
0.04,0.00862699381619347
0.08,0.0215727484460096
0.12,0.0320585339777282
0.16,0.0418758328630871
0.2,0.0511804121130546
0.24,0.0598766191542347
0.28,0.0678085109206784
0.32,0.0749477434922952
0.36,0.0812524521860706
0.4,0.0865723103477095
0.44,0.0908373493545374
0.48,0.094040963518336
0.52,0.0960904768896875
0.56,0.09689910892289
0.6,0.0964827046763108
0.64,0.0948160611133352
0.68,0.0918137789528595
0.72,0.0874781794179415
0.76,0.0818251319934786
0.8,0.0747924795557659
0.84,0.066358892773359
0.88,0.0565635320563951
0.92,0.0453857122348435
0.96,0.0327836179971554
1,0.0187855153614615
1.04,0.00339565080796953
1.08,-0.0134400994407291
1.12,-0.0317216388509753
1.16,-0.0514219669204264
1.2,-0.0725673722582818
1.24,-0.0951633729699497
1.28,-0.119156056229233
1.32,-0.144523419236955
1.36,-0.171266895641031
1.4,-0.199332041422263
1.44,-0.228666372103437
1.48,-0.25926221736584
1.52,-0.291077169623425
1.56,-0.324037709426306
1.6,-0.358111706593696
1.64,-0.393269945507138
1.68,-0.429443573604673
1.72,-0.466590283782147
1.76,-0.504701271250736
1.8,-0.543732276590998
1.84,-0.583630905671041
1.88,-0.624377696521293
1.92,-0.665929373375554
1.96,-0.708205711766775
2,-0.751148505877646
2.04,-0.794704426819349
2.08,-0.83878279997818
2.12,-0.883300795021475
2.16,-0.928200992493678
2.2,-0.973398371502079
2.24,-1.01879242493212
2.28,-1.06431029471568
2.32,-1.10987466142333
2.36,-1.15538659395319
2.4,-1.20077277080586
2.44,-1.2459809809246
2.48,-1.29093809341274
2.52,-1.33557353185363
2.56,-1.37983724860012
2.6,-1.42365701417566
2.64,-1.46693644623464
2.68,-1.50959185778021
2.72,-1.55153427801584
2.76,-1.59264886406094
2.8,-1.63282968832254
2.84,-1.67198474989571
2.88,-1.71000169312895
2.92,-1.74676178590215
2.96,-1.78216425447778
3,-1.81610191631492
3.04,-1.84845786865422
3.08,-1.87913905908094
3.12,-1.90806855388125
3.16,-1.93516127259563
3.2,-1.96034223954808
3.24,-1.98355100518755
3.28,-2.00470995414131
3.32,-2.0237261385546
3.36,-2.04051228239826
3.4,-2.05497116287872
3.44,-2.06698791184999
3.48,-2.07645623380941
3.52,-2.08327833038494
3.56,-2.08734446461316
3.6,-2.08854571972906
3.64,-2.08678637033992
3.68,-2.08196696776771
3.72,-2.07398821003611
3.76,-2.06277452999736
3.8,-2.04826755517186
3.84,-2.03041399545287
3.88,-2.00917861469461
3.92,-1.98454131504955
3.96,-1.95647403429096
4,-1.92494235004211
4.04,-1.88991503945059
4.08,-1.85135181557864
4.12,-1.80920278040573
4.16,-1.76342760896744
4.2,-1.71399475795602
4.24,-1.66087138102456
4.28,-1.60403355061966
4.32,-1.54347133746604
4.36,-1.47917811791204
4.4,-1.41115705416267
4.44,-1.33943712127641
4.48,-1.26406953041911
4.52,-1.18512356259099
4.56,-1.10269467511861
4.6,-1.01689824639278
4.64,-0.927852800713591
4.68,-0.835679101913841
4.72,-0.740501478006047
4.76,-0.642438419377725
4.8,-0.541604715646302
4.84,-0.438124478586144
4.88,-0.332131431153876
4.92,-0.223765753930419
4.96,-0.113181111258928
5,-0.000545365145574152
