"G3DY"
"Time (sec)","Velocity3 (mm/sec)"
0,0
0.04,0.503847509460259
0.08,0.990667362399664
0.12,1.47356410332041
0.16,1.94893045651103
0.2,2.41640452756627
0.24,2.87604737259798
0.28,3.32799806334912
0.32,3.77224193991606
0.36,4.20878664890267
0.4,4.63777788972279
0.44,5.059263035203
0.48,5.47321773801973
0.52,5.87971988259372
0.56,6.27884274820199
0.6,6.67053721032324
0.64,7.05480559440324
0.68,7.43173101689035
0.72,7.80129147065637
0.76,8.16345291830127
0.8,8.51827858848297
0.84,8.86578141925272
0.88,9.20590182475918
0.92,9.53865275123552
0.96,9.86407666434614
1,10.1821328188347
1.04,10.4928136921686
1.08,10.7961886127982
1.12,11.0922615806838
1.16,11.3810053665232
1.2,11.6624583765667
1.24,11.9366334970929
1.28,12.2034712864452
1.32,12.4629533458663
1.36,12.7150944900119
1.4,12.9598433348171
1.44,13.1971540222342
1.48,13.4270385573828
1.52,13.6494658483172
1.56,13.864366273881
1.6,14.0717215253509
1.64,14.2715182493662
1.68,14.4636959967627
1.72,14.6482305257484
1.76,14.8251431716385
1.8,14.9944132490619
1.84,15.1560113541198
1.88,15.3099494778806
1.92,15.4562094636997
1.96,15.5947272584503
2,15.7254674423764
2.04,15.8484032416136
2.08,15.9634641245228
2.12,16.0705922376206
2.16,16.1697636139803
2.2,16.2609204014862
2.24,16.3439854113593
2.28,16.4189157602558
2.32,16.4856633470509
2.36,16.5441545621243
2.4,16.5943501873968
2.44,16.6362402013727
2.48,16.6697907466982
2.52,16.6949725436874
2.56,16.7117821260244
2.6,16.7201878184188
2.64,16.7201275458158
2.68,16.7115553415608
2.72,16.6944200206746
2.76,16.6686404764349
2.8,16.6341490512834
2.84,16.5908971337768
2.88,16.5388116195199
2.92,16.4778113838024
2.96,16.4078367877469
3,16.328819727634
3.04,16.2406803969495
3.08,16.1433694596839
3.12,16.0368589329417
3.16,15.921112178949
3.2,15.7961055733328
3.24,15.6618327528348
3.28,15.5182648806697
3.32,15.3653527164974
3.36,15.2030525990483
3.4,15.0313081470326
3.44,14.8500417681169
3.48,14.6591869283312
3.52,14.458687641337
3.56,14.2484728206086
3.6,14.0284707599781
3.64,13.7986232270315
3.68,13.5588647464167
3.72,13.3091276546639
3.76,13.0493710717417
3.8,12.7795733871618
3.84,12.499717702907
3.88,12.2098067530927
3.92,11.9098583046734
3.96,11.5998764656683
4,11.2798530109099
4.04,10.9497787242316
4.08,10.6096292201701
4.12,10.2593650265398
4.16,9.89895480959864
4.2,9.52837427210763
4.24,9.14759350485629
4.28,8.75658808620859
4.32,8.35534406665803
4.36,7.94384474339184
4.4,7.5220783199157
4.44,7.09005719436158
4.48,6.64781421078017
4.52,6.19539799200316
4.56,5.73288219895551
4.6,5.26035742112081
4.64,4.77791057470947
4.68,4.28562314443859
4.72,3.78357252130019
4.76,3.27182132504523
4.8,2.7504206502507
4.84,2.21942602539525
4.88,1.67889812560846
4.92,1.12889891135881
4.96,0.569499266235537
5,0.000779122357107481
