"G3DZ"
"Time (sec)","Velocity4 (mm/sec)"
0,0
0.04,0.019831796354415
0.08,0.0434048532790201
0.12,0.0642586741263764
0.16,0.0839686218938674
0.2,0.102585429947838
0.24,0.119927796260986
0.28,0.135761874640436
0.32,0.149981704727786
0.36,0.162473783711992
0.4,0.173025141260592
0.44,0.181504805067083
0.48,0.187847950525759
0.52,0.191911112523183
0.56,0.193560741859348
0.6,0.192767321240353
0.64,0.189466114050334
0.68,0.183537945518711
0.72,0.174953167142499
0.76,0.163699827137624
0.8,0.149693512730366
0.84,0.132893396471756
0.88,0.113322214151845
0.92,0.0909476662238743
0.96,0.0657198956652311
1,0.0376620072257549
1.04,0.00677696531387621
1.08,-0.0269874712009656
1.12,-0.0636266384980213
1.16,-0.103105671017647
1.2,-0.145440351677747
1.24,-0.190623022671689
1.28,-0.238582845319012
1.32,-0.289278150083434
1.36,-0.342688591551085
1.4,-0.398734045806547
1.44,-0.457333306156082
1.48,-0.518448714903541
1.52,-0.582004390567766
1.56,-0.647889270530744
1.6,-0.716032524401475
1.64,-0.786364166499854
1.68,-0.858770246953158
1.72,-0.933162262577145
1.76,-1.00948541316367
1.8,-1.08764574359095
1.84,-1.16753863746088
1.88,-1.24909294295166
1.92,-1.33221046467214
1.96,-1.41675114716351
2,-1.50259656971271
2.04,-1.58963196806781
2.08,-1.67770003835127
2.12,-1.7666499281307
2.16,-1.85635701317498
2.2,-1.94666454881738
2.24,-2.03739644824504
2.28,-2.12840532264106
2.32,-2.21953718996753
2.36,-2.31061208548142
2.4,-2.40147729105971
2.44,-2.49200309181889
2.48,-2.58203528734774
2.52,-2.67142159340778
2.56,-2.76003245718333
2.6,-2.84771213240186
2.64,-2.93427581888663
2.68,-3.01955218406033
2.72,-3.1033628624392
2.76,-3.18549826618417
2.8,-3.2657581002764
2.84,-3.34395763425945
2.88,-3.41988725447996
2.92,-3.49332857070446
2.96,-3.56408345544586
3,-3.63194534040935
3.04,-3.69669523320792
3.08,-3.75814239195222
3.12,-3.81611579931074
3.16,-3.87043507307051
3.2,-3.9209326258958
3.24,-3.96745933719052
3.28,-4.00984582024534
3.32,-4.04790429250685
3.36,-4.08145443495688
3.4,-4.11030435730718
3.44,-4.13424101595091
3.48,-4.15306287780508
3.52,-4.16658017196767
3.56,-4.17458938154394
3.6,-4.17688908398089
3.64,-4.17329569265499
3.68,-4.16362240724231
3.72,-4.1476843036337
3.76,-4.12532880671797
3.8,-4.09642813601626
3.84,-4.06086432887883
3.88,-4.01854612246371
3.92,-3.96940555103775
3.96,-3.91336831740943
4,-3.85035573153869
4.04,-3.78029717798467
4.08,-3.7031144696444
4.12,-3.6187213176116
4.16,-3.52704855307597
4.2,-3.42804347581402
4.24,-3.32165684555076
4.28,-3.20785630418075
4.32,-3.08663320292171
4.36,-2.95798878751168
4.4,-2.82194299845973
4.44,-2.67855607341506
4.48,-2.52792442637177
4.52,-2.37017558342451
4.56,-2.2054791875046
4.6,-2.03403885643777
4.64,-1.8560698877797
4.68,-1.67179790590217
4.72,-1.48146058430987
4.76,-1.28529520231117
4.8,-1.08354161767316
4.84,-0.876459771142747
4.88,-0.664330205242477
4.92,-0.44744982025762
4.96,-0.226141086281358
5,-0.000752784327113423
