"G3EY"
"Time (sec)","Velocity1 (mm/sec)"
0,0
0.04,0.395558226949834
0.08,0.88081873937084
0.12,1.37325464098252
0.16,1.91099323773728
0.2,2.47878486278731
0.24,2.98009340930056
0.28,3.45475434222761
0.32,3.85152811407282
0.36,4.16353281939764
0.4,4.53464965388871
0.44,4.94624932798059
0.48,5.37738059632613
0.52,5.87390015124459
0.56,6.35417362442248
0.6,6.78942764626236
0.64,7.17857654632614
0.68,7.46780197383173
0.72,7.739203748486
0.76,8.05986321732843
0.8,8.39771550888349
0.84,8.79148329765248
0.88,9.22585928414393
0.92,9.62861325023567
0.96,9.99429666600387
1,10.2820040882618
1.04,10.4961889302957
1.08,10.725391498438
1.12,10.9776760992684
1.16,11.2646830143141
1.2,11.6175519507736
1.24,11.9800932258121
1.28,12.3135763373028
1.32,12.594589350857
1.36,12.7875832655296
1.4,12.9435987829226
1.44,13.1122449983943
1.48,13.2996634018235
1.52,13.5457589122997
1.56,13.8418002939216
1.6,14.1330037095364
1.64,14.3924601605203
1.68,14.5801975832124
1.72,14.6950921908215
1.76,14.7914647762926
1.8,14.8927665488893
1.84,15.0298451050472
1.88,15.2314440508955
1.92,15.4620210369136
1.96,15.6820942444134
2,15.8560881494012
2.04,15.950540862036
2.08,15.9909936395189
2.12,16.0152161836498
2.16,16.0499217154786
2.2,16.1382921997035
2.24,16.2823022971897
2.28,16.4433169692108
2.32,16.5863028004483
2.36,16.6684298175425
2.4,16.6770216623634
2.44,16.6422354037736
2.48,16.5930713315963
2.52,16.5705066669939
2.56,16.6071581094368
2.6,16.6863017956999
2.64,16.7740473205416
2.68,16.8295252185821
2.72,16.8150773618546
2.76,16.735035699481
2.8,16.6156890814871
2.84,16.4919212569788
2.88,16.4100664459086
2.92,16.3844878783709
2.96,16.3928512350209
3,16.4004594249326
3.04,16.3618951205718
3.08,16.2522468223924
3.12,16.0821481792485
3.16,15.8783042917991
3.2,15.68507902197
3.24,15.5409328983274
3.28,15.4466932456223
3.32,15.3785412453933
3.36,15.2959802446889
3.4,15.1564775600625
3.44,14.9467655265067
3.48,14.6803193850692
3.52,14.3912788069978
3.56,14.1272280511629
3.6,13.9143868371168
3.64,13.7467422579102
3.68,13.5958645363339
3.72,13.4164695041387
3.76,13.173459773051
3.8,12.8605546755621
3.84,12.4964356954768
3.88,12.1233500117861
3.92,11.784622908736
3.96,11.4968575422709
4,11.2492569842355
4.04,11.0067129423094
4.08,10.7242216845133
4.12,10.374558553026
4.16,9.95725258499773
4.2,9.49933572627755
4.24,9.04651924038734
4.28,8.63452232522839
4.32,8.27289854021035
4.36,7.94370312446065
4.4,7.60567751347872
4.44,7.21715764372769
4.48,6.75737033418957
4.52,6.2333280751949
4.56,5.68051055555836
4.6,5.14420990028078
4.64,4.65407375608959
4.68,4.21372579976677
4.72,3.79767111722856
4.76,3.36234374046088
4.8,2.87065884815692
4.84,2.30819310278551
4.88,1.69062090324042
4.92,1.05808908778285
4.96,0.452145593158694
5,-0.103876390589677
