"G3EZ"
"Time (sec)","Velocity2 (mm/sec)"
0,0
0.04,-5.60456969729923
0.08,-7.15698750540096
0.12,-9.8364774852605
0.16,-13.1344197146261
0.2,-11.7863440238144
0.24,-8.78889103658619
0.28,-7.44827482939619
0.32,-3.70366959048146
0.36,2.33752301465644
0.4,5.77608010958213
0.44,8.10288794307368
0.48,11.7808743884291
0.52,13.0236765210818
0.56,10.9419670769326
0.6,9.27970884570665
0.64,7.00782170011502
0.68,1.88442735029003
0.72,-2.88438699237379
0.76,-5.74580036415104
0.8,-9.2171724475859
0.84,-12.1388158130648
0.88,-11.8581883737063
0.92,-10.3355318327583
0.96,-8.82139677943357
1,-5.15335762011717
1.04,-0.134760304217334
1.08,3.58032405522476
1.12,6.92134022535491
1.16,10.5384560886209
1.2,12.0569863990401
1.24,11.3218251967044
1.28,10.1627039962239
1.32,7.7198803312074
1.36,3.24190831507273
1.4,-1.18953695238796
1.44,-4.86574597602827
1.48,-8.80755527182253
1.52,-11.8364496763339
1.56,-12.5693665702815
1.6,-12.1037319129354
1.64,-10.7843387856569
1.68,-7.54153901363989
1.72,-3.23464857103558
1.76,0.655682612823248
1.8,4.52840189475402
1.84,8.22950616504814
1.88,10.2384493403621
1.92,10.5298252727958
1.96,9.88116606706257
2,7.68451519752141
2.04,3.82226096901914
2.08,-0.374778438566847
2.12,-4.4843797217041
2.16,-8.7178455702184
2.2,-12.0473209208558
2.24,-13.6563594055585
2.28,-14.0304378061753
2.32,-13.1290982273092
2.36,-10.4514868391787
2.4,-6.70424508009221
2.44,-2.76984398205192
2.48,1.37533172258922
2.52,5.25380690393667
2.56,7.82114782563368
2.6,8.97063394954431
2.64,8.91077830919562
2.68,7.21855657709087
2.72,3.99189488953079
2.76,0.0843958611301359
2.8,-4.15914612243126
2.84,-8.541797637213
2.88,-12.1920646339718
2.92,-14.5153888092847
2.96,-15.5940290129261
3,-15.2197757880004
3.04,-13.1484968208041
3.08,-9.89387799731548
3.12,-6.0297133859943
3.16,-1.75610951701542
3.2,2.34386811263074
3.24,5.4741672323384
3.28,7.3994178129513
3.32,8.01726301792852
3.36,7.00099474561701
3.4,4.47149951545974
3.44,0.978831058523539
3.48,-3.15156014206945
3.52,-7.53863933419156
3.56,-11.4315043263906
3.6,-14.3021267520171
3.64,-15.9758817200334
3.68,-16.158535319024
3.72,-14.6890401143069
3.76,-11.9025400158464
3.8,-8.19956238515633
3.84,-3.8893423918383
3.88,0.434080430225709
3.92,4.09855020987288
3.96,6.75244083429519
4,8.11611212454403
4.04,7.88919393971532
4.08,6.13344875418611
4.12,3.19572079271253
4.16,-0.618136339632088
4.2,-4.86515684333012
4.24,-8.88142615499928
4.28,-12.1451271141384
4.32,-14.3200105192975
4.36,-15.0526024275261
4.4,-14.1747053058292
4.44,-11.8680660042049
4.48,-8.41729230982497
4.52,-4.16287400322979
4.56,0.330850257107001
4.6,4.45490921130469
4.64,7.77037311177753
4.68,9.88913816982918
4.72,10.4924339930401
4.76,9.55240073627407
4.8,7.26660212544451
4.84,3.90324141513848
4.88,-0.0993441804678571
4.92,-4.14379903372506
4.96,-7.69931696520374
5,-10.3287888807234
