"G4CY"
"Time (sec)","Acceleration7 (mm/sec**2)"
0,-9806.68029447951
0.04,6.06594335197704
0.08,6.08134610041538
0.12,5.99079379688719
0.16,5.89235586709939
0.2,5.79437813229174
0.24,5.6976379493328
0.28,5.60155114174517
0.32,5.50549244276379
0.36,5.41018042283204
0.4,5.31603141115261
0.44,5.22191740569024
0.48,5.12802568492096
0.52,5.03515158011267
0.56,4.9423619417222
0.6,4.849389814486
0.64,4.75698900574508
0.68,4.66499574692415
0.72,4.57273657429532
0.76,4.48063792970401
0.8,4.38911956687322
0.84,4.29734001343166
0.88,4.20532792858144
0.92,4.11374365950969
0.96,4.0221386117247
1,3.93022350406935
1.04,3.83858465060144
1.08,3.74729629106543
1.12,3.65574967814524
1.16,3.56415577250648
1.2,3.4728709998488
1.24,3.38127214601131
1.28,3.28922858307731
1.32,3.19722886646432
1.36,3.10504516643893
1.4,3.01231401827311
1.44,2.91940489509732
1.48,2.82644993297048
1.52,2.73292631021737
1.56,2.6389179988152
1.6,2.54479808106735
1.64,2.45023341070964
1.68,2.35511756149422
1.72,2.25990817233389
1.76,2.16458302213978
1.8,2.06880325364412
1.84,1.97278287385709
1.88,1.87665914248756
1.92,1.77998295735798
1.96,1.68269897190846
2,1.58509304681959
2.04,1.48694021448579
2.08,1.38804607978048
2.12,1.28870604705577
2.16,1.18893220356321
2.2,1.08838637375779
2.24,0.987173081537567
2.28,0.885488631705752
2.32,0.783087956297147
2.36,0.67997339586273
2.4,0.576494968349413
2.44,0.472620690719315
2.48,0.368187120253901
2.52,0.263393858505383
2.56,0.15827033928313
2.6,0.0524859426270856
2.64,-0.0539852355202362
2.68,-0.161007910994076
2.72,-0.268789509152265
2.76,-0.377427445740344
2.8,-0.486701870666352
2.84,-0.596645385502051
2.88,-0.707467470921081
2.92,-0.819066580077314
2.96,-0.931352187112742
3,-1.04449500987783
3.04,-1.15842984046753
3.08,-1.2728854836359
3.12,-1.38786309970838
3.16,-1.50339482150693
3.2,-1.61929400008478
3.24,-1.73556825297391
3.28,-1.85244872941237
3.32,-1.96995356677923
3.36,-2.08805033816043
3.4,-2.20691933625114
3.44,-2.32660221507049
3.48,-2.44694039679128
3.52,-2.56796426164421
3.56,-2.68977755841229
3.6,-2.81228160736095
3.64,-2.935432631584
3.68,-3.0593265252526
3.72,-3.18385571851204
3.76,-3.30879217187067
3.8,-3.4340761732511
3.84,-3.55962731340992
3.88,-3.68525059034324
3.92,-3.81093201998733
3.96,-3.93680016490098
4,-4.06285973753256
4.04,-4.18912788919453
4.08,-4.31574167538065
4.12,-4.44270336872436
4.16,-4.56988799946214
4.2,-4.69728683738921
4.24,-4.82490381453793
4.28,-4.95262472585828
4.32,-5.08040040732893
4.36,-5.20824487248779
4.4,-5.33601596654376
4.44,-5.46349758576321
4.48,-5.59055628533234
4.52,-5.71701712135667
4.56,-5.84265996051331
4.6,-5.96741517776248
4.64,-6.09131276587321
4.68,-6.21433777179708
4.72,-6.33652223388253
4.76,-6.45796048777477
4.8,-6.57863844057535
4.84,-6.69845956215092
4.88,-6.81737831041561
4.92,-6.93533200040703
4.96,-7.05220107464441
5,-7.16792602770824
