"G4CZ"
"Time (sec)","Acceleration8 (mm/sec**2)"
0,0.0632315513383144
0.04,0.506360334113083
0.08,0.278436534635709
0.12,0.251441521423243
0.16,0.239142162000068
0.2,0.225840127780242
0.24,0.208291375207109
0.28,0.188366848401036
0.32,0.168523473298905
0.36,0.146056818889473
0.4,0.119807881251788
0.44,0.0934848643049604
0.48,0.0663469986095332
0.52,0.0358013339999703
0.56,0.00477754866320845
0.6,-0.025650193621189
0.64,-0.0580897035770198
0.68,-0.0919184639841114
0.72,-0.12476444576422
0.76,-0.158187206515312
0.8,-0.193488782869108
0.84,-0.228002811463131
0.88,-0.261855466887526
0.92,-0.297235885203108
0.96,-0.33270224670543
1,-0.367168148340431
1.04,-0.402593973588219
1.08,-0.439142115205086
1.12,-0.474805350627523
1.16,-0.510353516868588
1.2,-0.546944794975296
1.24,-0.582624568353047
1.28,-0.616948233170755
1.32,-0.651487724640291
1.36,-0.68545925625687
1.4,-0.717609579402935
1.44,-0.749150589256869
1.48,-0.780487259546445
1.52,-0.809986016582677
1.56,-0.837974498493
1.6,-0.865659914050903
1.64,-0.891987376352673
1.68,-0.916562168888107
1.72,-0.940800943789954
1.76,-0.964576775532866
1.8,-0.986784493571467
1.84,-1.00813185565255
1.88,-1.02906941485031
1.92,-1.04822214854495
1.96,-1.06542950398044
2,-1.08157222397674
2.04,-1.09590191003955
2.08,-1.10774969088965
2.12,-1.11801264706265
2.16,-1.12671251515669
2.2,-1.13281466963808
2.24,-1.13668918231394
2.28,-1.13897053776521
2.32,-1.13890525540462
2.36,-1.13647161253302
2.4,-1.13270541734771
2.44,-1.12745321597706
2.48,-1.12017134191933
2.52,-1.11147650395588
2.56,-1.10147616747441
2.6,-1.08918393935527
2.64,-1.07454241224044
2.68,-1.05796173787459
2.72,-1.03877276999558
2.76,-1.01662576260149
2.8,-0.992153458156359
2.84,-0.965232667335809
2.88,-0.935228183499396
2.92,-0.902482927611535
2.96,-0.867305158031785
3,-0.829190473282274
3.04,-0.788327880700338
3.08,-0.745509105009122
3.12,-0.700684056843615
3.16,-0.653716573143229
3.2,-0.605165373613758
3.24,-0.555022638124891
3.28,-0.502618350934359
3.32,-0.447930986388689
3.36,-0.391074942402965
3.4,-0.331490436567955
3.44,-0.269018408062248
3.48,-0.204106954688711
3.52,-0.136642950762034
3.56,-0.0663167257543649
3.6,0.00653822054441009
3.64,0.081743572806409
3.68,0.159550373969006
3.72,0.239612776560316
3.76,0.321243037251927
3.8,0.404281013577433
3.84,0.488502187992997
3.88,0.573313467929687
3.92,0.658644491976203
3.96,0.744834711887832
4,0.831837781519385
4.04,0.919655180585482
4.08,1.00867500304171
4.12,1.09889842103167
4.16,1.18995033856931
4.2,1.28180228656456
4.24,1.37444203178928
4.28,1.46747008447027
4.32,1.56066460357018
4.36,1.65399315115468
4.4,1.74696025281935
4.44,1.83886947264392
4.48,1.92929603062038
4.52,2.01769572535841
4.56,2.10337553339795
4.6,2.18607689639528
4.64,2.26581928844491
4.68,2.34247042133093
4.72,2.41604300812248
4.76,2.48675902075078
4.8,2.55453497523425
4.84,2.61905471772147
4.88,2.68016295398376
4.92,2.73763810172543
4.96,2.79106220226126
5,2.84017869404029
