"G4DY"
"Time (sec)","Acceleration5 (mm/sec**2)"
0,-9807.47388640871
0.04,11.9213772971905
0.08,12.1502109526275
0.12,11.9832525014825
0.16,11.7855513856574
0.2,11.5882002330188
0.24,11.3946592066102
0.28,11.2026247846539
0.32,11.0095133158973
0.36,10.8184361765966
0.4,10.6311227414903
0.44,10.4430215971532
0.48,10.2550061886465
0.52,10.0704009913108
0.56,9.88548499063124
0.6,9.69918648215828
0.64,9.51469222814849
0.68,9.33137138145111
0.72,9.14649478305528
0.76,8.96191051543005
0.8,8.77937036498108
0.84,8.59552262343355
0.88,8.41055359033047
0.92,8.22721944318404
0.96,8.04375361182489
1,7.85899679569662
1.04,7.67539933632628
1.08,7.49328633821895
1.12,7.31022868861881
1.16,7.12715293524992
1.2,6.94554758772273
1.24,6.76295199589454
1.28,6.57888163005692
1.32,6.39535267521919
1.36,6.21147171497224
1.4,6.02579681724061
1.44,5.83986378506791
1.48,5.65423412197611
1.52,5.46686133708135
1.56,5.27814210127026
1.6,5.08961156816282
1.64,4.89997584294922
1.68,4.70883383103405
1.72,4.51803226175003
1.76,4.32749253831662
1.8,4.13588927198793
1.84,3.9441114374098
1.88,3.75273234063835
1.92,3.5600160525883
1.96,3.36578189890766
2,3.1711809410965
2.04,2.97534110464203
2.08,2.77751209584806
2.12,2.57887332178567
2.16,2.37949014065348
2.2,2.17807431536665
2.24,1.97507787288504
2.28,1.77129840831044
2.32,1.56580977396391
2.36,1.35863978732656
2.4,1.15115068985339
2.44,0.943215583265031
2.48,0.734207741882972
2.52,0.52491222165704
2.56,0.315457875046052
2.6,0.104599118385126
2.64,-0.107736951359911
2.68,-0.321018765624657
2.72,-0.536034508591866
2.76,-0.753153417833565
2.8,-0.971537103290109
2.84,-1.19130664773002
2.88,-1.4132411796355
2.92,-1.63693074006294
2.96,-1.86201296282596
3,-2.0891167822291
3.04,-2.31798980146612
3.08,-2.54762206082322
3.12,-2.7780375371349
3.16,-3.00937468662562
3.2,-3.24094757524069
3.24,-3.47279341914997
3.28,-3.70577421830431
3.32,-3.93995553381191
3.36,-4.1752239369478
3.4,-4.41226523998134
3.44,-4.65125706335931
3.48,-4.89164140114246
3.52,-5.13355945158237
3.56,-5.37741371432392
3.6,-5.62285356172083
3.64,-5.86973250349834
3.68,-6.11841975278472
3.72,-6.36854998066282
3.76,-6.61933428962151
3.8,-6.87061322859922
3.84,-7.12215652888173
3.88,-7.37331627172227
3.92,-7.62410029733941
3.96,-7.87502732473306
4,-8.12616415509295
4.04,-8.37762938270745
4.08,-8.62998553532847
4.12,-8.88331758225084
4.16,-9.1372597367249
4.2,-9.3918698344341
4.24,-9.64724627938939
4.28,-9.90305689410445
4.32,-10.1592016976335
4.36,-10.4158107696346
4.4,-10.6724621735006
4.44,-10.9284845828045
4.48,-11.1835165199891
4.52,-11.4370552783214
4.56,-11.6884374651223
4.6,-11.9375326464933
4.64,-12.1845579565193
4.68,-12.4295653596248
4.72,-12.6727748046647
4.76,-12.9146361567201
4.8,-13.155221369569
4.84,-13.3943160936272
4.88,-13.631890190539
4.92,-13.8678470367367
4.96,-14.1018782552743
5,-14.3338802460755
