"G4DZ"
"Time (sec)","Acceleration6 (mm/sec**2)"
0,0.804759075899754
0.04,0.764796234991849
0.08,0.542290961708142
0.12,0.505312085178727
0.16,0.47962914485138
0.2,0.450693856121683
0.24,0.415512031359652
0.28,0.37600746151327
0.32,0.334687731708997
0.36,0.289074180903787
0.4,0.238171014855713
0.44,0.185671003992071
0.48,0.13098150699082
0.52,0.0717051968256355
0.56,0.0107800612754051
0.6,-0.0506269413804886
0.64,-0.114941779496263
0.68,-0.181462945282383
0.72,-0.24776557055314
0.76,-0.3152668873451
0.8,-0.385153723342237
0.84,-0.454715573582975
0.88,-0.52396847994855
0.92,-0.594983397573546
0.96,-0.666254780527366
1,-0.73660772887801
1.04,-0.807906446337241
1.08,-0.88024968854586
1.12,-0.951553527107191
1.16,-1.02250709206904
1.2,-1.09421408354619
1.24,-1.1646345933223
1.28,-1.23323250816238
1.32,-1.30153359191086
1.36,-1.36867985379342
1.4,-1.43331288000913
1.44,-1.49660151058311
1.48,-1.5589092230296
1.52,-1.61848056519158
1.56,-1.67557626475726
1.6,-1.7313947760509
1.64,-1.7847789273879
1.68,-1.8352476248562
1.72,-1.88424003401501
1.76,-1.93158853830074
1.8,-1.97607343788521
1.84,-2.01839728204536
1.88,-2.05900808933972
1.92,-2.09638514726208
1.96,-2.13029600281215
2,-2.161647964307
2.04,-2.18958833862489
2.08,-2.21333385656144
2.12,-2.23381717666189
2.16,-2.25102630885231
2.2,-2.26376891505193
2.24,-2.2723968487104
2.28,-2.27757442716596
2.32,-2.27841868462679
2.36,-2.27485853763359
2.4,-2.26803182688405
2.44,-2.2577499018909
2.48,-2.2433714956945
2.52,-2.22557582225502
2.56,-2.20447234115566
2.6,-2.17890236119842
2.64,-2.14876474115856
2.68,-2.11450972430304
2.72,-2.07533688132861
2.76,-2.03080709447178
2.8,-1.98163731941512
2.84,-1.92766572600594
2.88,-1.86811428568504
2.92,-1.80335754521845
2.96,-1.73374082899813
3,-1.65864220531108
3.04,-1.57826979341169
3.08,-1.49357555099558
3.12,-1.40451225436153
3.16,-1.31092636037913
3.2,-1.21351294137629
3.24,-1.11228421909941
3.28,-1.00643330506685
3.32,-0.895942476001871
3.36,-0.780968416022272
3.4,-0.660837580407381
3.44,-0.535369979923026
3.48,-0.405148960412314
3.52,-0.270065085406014
3.56,-0.129757624449977
3.6,0.0153272212842629
3.64,0.164930129479438
3.68,0.319329026767626
3.72,0.478039035897236
3.76,0.640121301317671
3.8,0.805291612788376
3.84,0.973177143300784
3.88,1.14292400831513
3.92,1.31434268491094
3.96,1.48777404933373
4,1.66306313335699
4.04,1.84011006337201
4.08,2.01931123124402
4.12,2.20055627414308
4.16,2.38323483514039
4.2,2.56718159689966
4.24,2.75225102622975
4.28,2.93778840786266
4.32,3.12336618287298
4.36,3.30880013937756
4.4,3.49328790056738
4.44,3.67574676931055
4.48,3.85543903827341
4.52,4.03146056614201
4.56,4.20270475982274
4.6,4.36863929245671
4.64,4.52910424305224
4.68,4.6837416444245
4.72,4.83238486924355
4.76,4.97514368447053
4.8,5.11171721302098
4.84,5.24149097598459
4.88,5.36406241375609
4.92,5.47894408400867
4.96,5.58539148217381
5,5.68288070235219
