"G4EY"
"Time (sec)","Acceleration2 (mm/sec**2)"
0,-9806.71094693178
0.04,10.8319711198036
0.08,12.5474644525637
0.12,12.3906145042734
0.16,14.4612088290705
0.2,13.4187967485292
0.24,12.0136409406521
0.28,11.432709001262
0.32,8.2890977878075
0.36,8.05368436345842
0.4,10.2378376706248
0.44,10.2498099864186
0.48,11.6321738708021
0.52,12.7346103735872
0.56,11.2618505669014
0.6,10.5650930856374
0.64,8.55707718734586
0.68,6.31441918980499
0.72,7.49820796526161
0.76,8.28365521507142
0.8,8.85445330228864
0.84,10.7679979529169
0.88,10.6199110273648
0.92,9.61694393992739
0.96,8.46770140860754
1,5.90307863017547
1.04,5.2281558660579
1.08,6.15302371329144
1.12,6.49353241053859
1.16,8.04648094588375
1.2,9.30759222256858
1.24,8.72843046504448
1.28,7.90447211816413
1.32,5.94912087444404
1.36,3.95019444651375
1.4,4.02064647179601
1.44,4.35688682076693
1.48,5.21453263945254
1.52,7.04264084377697
1.56,7.5286666257676
1.6,7.00229201488744
1.64,5.80324949491221
1.68,3.57393814516246
1.72,2.41580364889833
1.76,2.42604264230053
1.8,2.74333788261439
1.84,4.24676412217949
1.88,5.65705900120454
1.92,5.75794762042624
1.96,5.14556401056748
2,3.40469524180856
2.04,1.44863660826369
2.08,0.701918255236646
2.12,0.561316186167288
2.16,1.35535152403986
2.2,3.05380370404154
2.24,3.98986496810442
2.28,3.9745264410291
2.32,3.0135222030027
2.36,1.05210335851982
2.4,-0.487522163006908
2.44,-1.18197198187936
2.48,-1.13530381515482
2.52,0.133911814155964
2.56,1.60882246241897
2.6,2.24229172591739
2.64,2.01670909578896
2.68,0.613476716515422
2.72,-1.2949422213413
2.76,-2.61667317827033
2.8,-3.25039451919693
2.84,-2.76292424874566
2.88,-1.29418817997591
2.92,-0.0768726026402654
2.96,0.393135203221244
3,-0.17501956243776
3.04,-1.83319241232641
3.08,-3.59359939212331
3.12,-4.83347040856356
3.16,-5.20550470582724
3.2,-4.31949348712802
3.24,-2.90606436480498
3.28,-1.88447620146723
3.32,-1.65633120759093
3.36,-2.62295356775721
3.4,-4.38073315491625
3.44,-6.05577018177244
3.48,-7.15750981992044
3.52,-7.12383053839326
3.56,-5.99985154626106
3.6,-4.67419903407809
3.64,-3.79847564951782
3.68,-3.90409430770907
3.72,-5.18035083401541
3.76,-6.97837340378433
3.8,-8.60717557742804
3.84,-9.45203489054471
3.88,-9.05363312410912
3.92,-7.84055143598479
3.96,-6.58612633169928
4,-5.91295843144688
4.04,-6.37047246735609
4.08,-7.83571507629149
4.12,-9.64409165752532
4.16,-11.1299562784284
4.2,-11.6052098002209
4.24,-10.9216377856049
4.28,-9.65473514656835
4.32,-8.48714832928023
4.36,-8.11692505096813
4.4,-8.92258280874917
4.44,-10.564489750457
4.48,-12.3996920421399
4.52,-13.6777545197393
4.56,-13.8087792424634
4.6,-12.915386462905
4.64,-11.5831806198969
4.68,-10.5235708548171
4.72,-10.4299234463353
4.76,-11.4553724943818
4.8,-13.1722071296342
4.84,-14.8947850691235
4.88,-15.8429608660644
4.92,-15.6471042067796
4.96,-14.5779977675535
5,-13.2424913211623
