"G5A1"
"Time (sec)","Reaction Force3 (newton)"
0,5.8834079739584e-08
0.04,1.13648690631515
0.08,1.13652067177696
0.12,1.13659967341991
0.16,1.13671126441542
0.2,1.13685409434022
0.24,1.13702768941294
0.28,1.13723194499433
0.32,1.13746694655684
0.36,1.13773253870805
0.4,1.13802874905143
0.44,1.13835593001731
0.48,1.13871392030519
0.52,1.1391024485437
0.56,1.1395216901801
0.6,1.13997193760674
0.64,1.1404535924611
0.68,1.14096761446564
0.72,1.14151522256872
0.76,1.1420968584575
0.8,1.14271257719733
0.84,1.14336219658679
0.88,1.14404497868781
0.92,1.14476052052676
0.96,1.14550936372558
1,1.14629295729803
1.04,1.14711304871911
1.08,1.14797135333858
1.12,1.14886894239241
1.16,1.149805493209
1.2,1.15078002269033
1.24,1.15179149935869
1.28,1.15283978859948
1.32,1.15392627745239
1.36,1.1550531748181
1.4,1.15622290113875
1.44,1.15743680281569
1.48,1.15869397074203
1.52,1.1599914052182
1.56,1.16132589974771
1.6,1.1626957953049
1.64,1.16410167171288
1.68,1.16554802848543
1.72,1.1670422123352
1.76,1.1685904139047
1.8,1.17019606010806
1.84,1.17185937405036
1.88,1.17357615849678
1.92,1.17533931384482
1.96,1.1771439949416
2,1.17898890117844
2.04,1.18087406072092
2.08,1.18280157346068
2.12,1.18477345296508
2.16,1.18678596966171
2.2,1.18883073676947
2.24,1.19090054479367
2.28,1.19299114529483
2.32,1.19510366369479
2.36,1.19725054950485
2.4,1.19945230011091
2.44,1.20172714306756
2.48,1.20408775386569
2.52,1.20653864161641
2.56,1.20906995207872
2.6,1.21166141480087
2.64,1.21429416228069
2.68,1.21695331125595
2.72,1.21962708388907
2.76,1.2223114904767
2.8,1.22500579076555
2.84,1.2277010543502
2.88,1.23038267812615
2.92,1.23303916794887
2.96,1.23566367284204
3,1.23826111310249
3.04,1.24085957111578
3.08,1.24350323631481
3.12,1.24623540909813
3.16,1.24909123252066
3.2,1.25208773321753
3.24,1.25521052096966
3.28,1.25842047727042
3.32,1.26167180364408
3.36,1.26491852077462
3.4,1.2681207804256
3.44,1.27125591284004
3.48,1.27431177634552
3.52,1.27727140463223
3.56,1.28011548229688
3.6,1.28283009340436
3.64,1.28540848486355
3.68,1.28786453306757
3.72,1.2902482475657
3.76,1.29263586853729
3.8,1.29510851034894
3.84,1.29773766478162
3.88,1.30056364166922
3.92,1.30357483479006
3.96,1.30671454852791
4,1.30990193731496
4.04,1.31304588157394
4.08,1.31606354733305
4.12,1.31889931465738
4.16,1.32151976566974
4.2,1.32389862050434
4.24,1.32601601171759
4.28,1.32786053158032
4.32,1.32943084370598
4.36,1.33075297254439
4.4,1.33189686891558
4.44,1.33296728056058
4.48,1.33408221748602
4.52,1.33535066651462
4.56,1.33684065381765
4.6,1.3385531869648
4.64,1.34042529653871
4.68,1.34234968634738
4.72,1.34419673736503
4.76,1.34584478106644
4.8,1.34720602140499
4.84,1.34822763614288
4.88,1.34888058755089
4.92,1.34915323866588
4.96,1.34904517197055
5,1.34856631379696
