"G5BDONE"
"Time (sec)","Reaction Force4 (newton)"
0,1.12562807270323e-08
0.04,16.7086392842091
0.08,16.6889711249779
0.12,16.6631744657606
0.16,16.6228506736618
0.2,16.5758395586035
0.24,16.5374754895298
0.28,16.5065765794546
0.32,16.4869510471266
0.36,16.4919262069167
0.4,16.520797465814
0.44,16.5636280633489
0.48,16.6201243653331
0.52,16.6874419815815
0.56,16.7504649015609
0.6,16.8040317841749
0.64,16.8515026276923
0.68,16.8858887548941
0.72,16.9021227366828
0.76,16.9062314331049
0.8,16.8989932383911
0.84,16.8759056176531
0.88,16.844072055231
0.92,16.8140118793131
0.96,16.7881452515188
1,16.7738924279949
1.04,16.7832732786773
1.08,16.8173673413089
1.12,16.8715747264016
1.16,16.9453592879755
1.2,17.0328639194885
1.24,17.1208561754217
1.28,17.2030265956196
1.32,17.2774141869969
1.36,17.3363902697573
1.4,17.3758653239421
1.44,17.3989771861451
1.48,17.4048887089034
1.52,17.3914663666907
1.56,17.3653044386078
1.6,17.3349474466105
1.64,17.3055747777065
1.68,17.287396246892
1.72,17.2927582406562
1.76,17.3255020907644
1.8,17.3851245002997
1.84,17.4713331902171
1.88,17.5769903481875
1.92,17.6893547958925
1.96,17.7999652197613
2,17.9022869670174
2.04,17.9870957082252
2.08,18.0495343148532
2.12,18.0899922813559
2.16,18.1066287963846
2.2,18.0986172440599
2.24,18.0720375634091
2.28,18.0347247904634
2.32,17.9942775872896
2.36,17.9633250628827
2.4,17.955566006651
2.44,17.9782840886013
2.48,18.0348855800471
2.52,18.1260865370163
2.56,18.2447227224079
2.6,18.378222796707
2.64,18.5155896303091
2.68,18.6460412791635
2.72,18.7579246061706
2.76,18.8442515686652
2.8,18.902407233483
2.84,18.9294446401744
2.88,18.924984269327
2.92,18.8944376551507
2.96,18.8454445169899
3,18.7876409866796
3.04,18.735728097082
3.08,18.7053661682803
3.12,18.7077057761358
3.16,18.7501788841989
3.2,18.8354521383923
3.24,18.957537105807
3.28,19.1043195336477
3.32,19.2624998363396
3.36,19.4174885267319
3.4,19.5546476142797
3.44,19.6638565810183
3.48,19.7391363274406
3.52,19.7760095627937
3.56,19.7737099903706
3.6,19.7367082189619
3.64,19.6724736919166
3.68,19.5920561289254
3.72,19.5116807061157
3.76,19.4490529336146
3.8,19.419150974803
3.84,19.4334379744407
3.88,19.4973799358434
3.92,19.6072864985596
3.96,19.7522141723681
4,19.9174163263969
4.04,20.085367331381
4.08,20.2384593187379
4.12,20.3630609722269
4.16,20.4497119237942
4.2,20.4920215102724
4.24,20.4881623757202
4.28,20.4413631743221
4.32,20.3586067720446
4.36,20.2514353796265
4.4,20.1366558580425
4.44,20.0333565217726
4.48,19.9595403061982
4.52,19.9301638350504
4.56,19.9538412014254
4.6,20.029981558772
4.64,20.1497447083284
4.68,20.2983490889383
4.72,20.4568563224996
4.76,20.6056201380015
4.8,20.7281212010736
4.84,20.8119919686103
4.88,20.8490323617707
4.92,20.8361204313951
4.96,20.7751008514678
5,20.6720001275712
