"con12C"
"Time (sec)","Reaction Force11 (newton)"
0,6.93173685642936e-09
0.04,29.9363299061267
0.08,29.9526345808246
0.12,29.9715564189833
0.16,29.9905555380023
0.2,30.0046077431163
0.24,30.0121616107312
0.28,30.0159176848317
0.32,30.0214003894275
0.36,30.0297055538993
0.4,30.0420864949788
0.44,30.0584327259195
0.48,30.0733777199575
0.52,30.0838949373183
0.56,30.0898179010513
0.6,30.0933738442762
0.64,30.0984925155169
0.68,30.110139806629
0.72,30.1319503697547
0.76,30.1621088597559
0.8,30.1968271449293
0.84,30.23108913575
0.88,30.2597659934303
0.92,30.2814478241069
0.96,30.2981463368555
1,30.3145695898724
1.04,30.335450007562
1.08,30.3635970038671
1.12,30.3987566354967
1.16,30.4374881949322
1.2,30.475736922292
1.24,30.5100674799679
1.28,30.5399812782657
1.32,30.5682305508853
1.36,30.5981328635867
1.4,30.6325006435922
1.44,30.672010216444
1.48,30.713869875293
1.52,30.7529965599522
1.56,30.7854007225767
1.6,30.8099799396433
1.64,30.828360247023
1.68,30.8460840133654
1.72,30.8704969251863
1.76,30.9062334876675
1.8,30.9543968689492
1.84,31.0131460224769
1.88,31.0773743176915
1.92,31.1406567605647
1.96,31.1994893816404
2,31.2535552152086
2.04,31.3034823884441
2.08,31.3511468239348
2.12,31.3981426893746
2.16,31.4425491404788
2.2,31.4802748154459
2.24,31.5086362137238
2.28,31.5269554601299
2.32,31.5372759470895
2.36,31.5465746029745
2.4,31.5643282492905
2.44,31.5975712766344
2.48,31.6499683593921
2.52,31.7214052226597
2.56,31.8063273610174
2.6,31.8961769081649
2.64,31.9841238002033
2.68,32.065670515398
2.72,32.1379753848394
2.76,32.2010646011651
2.8,32.2560037876988
2.84,32.3013782131136
2.88,32.3343980697746
2.92,32.3535249585393
2.96,32.3586754402975
3,32.352820685575
3.04,32.3443911002662
3.08,32.3447877953644
3.12,32.3639354454188
3.16,32.4087898883744
3.2,32.4814956729278
3.24,32.5771295612706
3.28,32.6860621146985
3.32,32.7983143805375
3.36,32.9049222368194
3.4,32.9990374239678
3.44,33.0777612928928
3.48,33.1404351246405
3.52,33.185592337625
3.56,33.2114797513897
3.6,33.217421939552
3.64,33.2039922739823
3.68,33.1751182911944
3.72,33.140300670911
3.76,33.1125330666496
3.8,33.1046461181395
3.84,33.1270884404781
3.88,33.1848515811996
3.92,33.2748392737314
3.96,33.3875769432375
4,33.5107945727962
4.04,33.6316277328922
4.08,33.7392226618084
4.12,33.8271264555231
4.16,33.8922316031335
4.2,33.9324945921152
4.24,33.9467466753601
4.28,33.9348890734761
4.32,33.8980258139335
4.36,33.8406059324905
4.4,33.7723832346415
4.44,33.7070890541317
4.48,33.6596514695506
4.52,33.6434454729295
4.56,33.6664557456314
4.6,33.7283096819777
4.64,33.8209659080977
4.68,33.9313643643466
4.72,34.0442111318473
4.76,34.1455795756335
4.8,34.2258302761357
4.84,34.2795327325543
4.88,34.3039954370874
4.92,34.2984349776716
4.96,34.263214870875
5,34.1997320446584
