"Plot9"
"Time (sec)","Reaction Force8 (newton)"
0,2.58880084604743e-09
0.04,14.3911049649242
0.08,14.3944389621338
0.12,14.397776529422
0.16,14.3995321225606
0.2,14.3987955630304
0.24,14.3960786928187
0.28,14.3921267532957
0.32,14.3893640424006
0.36,14.3885085263676
0.4,14.3898881961643
0.44,14.3931401377817
0.48,14.3959647635526
0.52,14.3971471399565
0.56,14.3958508336461
0.6,14.3925151137122
0.64,14.3889170666089
0.68,14.3864584214942
0.72,14.3862680110746
0.76,14.3883695583141
0.8,14.3916268338102
0.84,14.3941645045882
0.88,14.394607374637
0.92,14.3926931379654
0.96,14.3891173568344
1,14.3856833399192
1.04,14.3838039670227
1.08,14.3842845093979
1.12,14.3869582110206
1.16,14.39013231286
1.2,14.3921878630335
1.24,14.3919991030717
1.28,14.3894447137112
1.32,14.3857848265892
1.36,14.3826012529898
1.4,14.3813222917586
1.44,14.382542638854
1.48,14.3854831408402
1.52,14.3884958968666
1.56,14.3899836387035
1.6,14.3890848851529
1.64,14.3860795601561
1.68,14.3823671954897
1.72,14.3795933267794
1.76,14.3790126945302
1.8,14.3808536008353
1.84,14.383960611673
1.88,14.3866823167814
1.92,14.3875602451409
1.96,14.385968961725
2,14.3826098717388
2.04,14.3789713518136
2.08,14.3766994541707
2.12,14.3768406054368
2.16,14.3791454652297
2.2,14.38229691969
2.24,14.3846170773529
2.28,14.3848006847503
2.32,14.3825996008714
2.36,14.3789734772001
2.4,14.3755463443711
2.44,14.3738846534271
2.48,14.3746890817224
2.52,14.3773594975455
2.56,14.3804327705211
2.6,14.3822486223761
2.64,14.3817248521123
2.68,14.3789884401995
2.72,14.3752293416302
2.76,14.3721484193364
2.8,14.3711514598122
2.84,14.3725533261934
2.88,14.3754850062176
2.92,14.3783543156821
2.96,14.3795668978693
3,14.3783530793706
3.04,14.375158800999
3.08,14.3713911873429
3.12,14.3687633458727
3.16,14.3684191112132
3.2,14.370335297833
3.24,14.3733999706419
3.28,14.3759298715338
3.32,14.3764835387664
3.36,14.3746246242142
3.4,14.371100277336
3.44,14.3674845632183
3.48,14.3654166353035
3.52,14.3657376516251
3.56,14.368108346137
3.6,14.3711918067838
3.64,14.3732749403635
3.68,14.37314290673
3.72,14.3706864412442
3.76,14.3669370193999
3.8,14.3635775334633
3.84,14.3620920690951
3.88,14.3630195294492
3.92,14.3657195346624
3.96,14.368669858261
4,14.3702130749294
4.04,14.3694040827201
4.08,14.3664600906583
4.12,14.3626583601419
4.16,14.3597115079151
4.2,14.358893425903
4.24,14.3604258781015
4.28,14.3633746039822
4.32,14.3660893160048
4.36,14.3670374472143
4.4,14.3655669649076
4.44,14.3622184852708
4.48,14.3584689540807
4.52,14.3559911041696
4.56,14.3558205465944
4.6,14.3578590977791
4.64,14.3609120514395
4.68,14.3632780781488
4.72,14.3636065420522
4.76,14.3615573186068
4.8,14.3579716154221
4.84,14.3544588482048
4.88,14.3525863527325
4.92,14.3531116554136
4.96,14.3556091257855
5,14.3586688258377
