"G5Ecorrected"
"Time (sec)","Reaction Force12 (newton)"
0,1.43790718390042e-08
0.04,14.3670871583879
0.08,14.370418420978
0.12,14.3737539550644
0.16,14.3755071135994
0.2,14.374771936078
0.24,14.3720582972381
0.28,14.368108932374
0.32,14.3653492366693
0.36,14.3644947296405
0.4,14.3658730138297
0.44,14.3691232164869
0.48,14.3719451581232
0.52,14.373126400243
0.56,14.3718322828352
0.6,14.3684991973036
0.64,14.3649041605824
0.68,14.362448232086
0.72,14.362257857797
0.76,14.3643580382271
0.8,14.3676129931235
0.84,14.37014815533
0.88,14.37059124143
0.92,14.3686791302109
0.96,14.3651060588547
1,14.3616754226196
1.04,14.3597979078905
1.08,14.3602780386073
1.12,14.3629500584446
1.16,14.3661214231799
1.2,14.3681753201699
1.24,14.3679874034281
1.28,14.3654351282049
1.32,14.3617784315619
1.36,14.3585980222821
1.4,14.3573201704112
1.44,14.3585397983407
1.48,14.3614781195632
1.52,14.3644882724532
1.56,14.3659752161376
1.6,14.3650775574755
1.64,14.362074717196
1.68,14.358365879296
1.72,14.355594611662
1.76,14.3550145763933
1.8,14.3568543204155
1.84,14.359958796012
1.88,14.3626783905633
1.92,14.3635560455307
1.96,14.3619661797986
2,14.3586101121657
2.04,14.3549750506841
2.08,14.35270519884
2.12,14.3528465054859
2.16,14.355149690881
2.2,14.3582985912676
2.24,14.3606171681425
2.28,14.3608009026946
2.32,14.3586017804349
2.36,14.3549790716162
2.4,14.3515550955735
2.44,14.349894986
2.48,14.3506990601133
2.52,14.3533674002095
2.56,14.3564383196026
2.6,14.3582530078093
2.64,14.3577298445139
2.68,14.3549959884272
2.72,14.3512404103447
2.76,14.3481622872951
2.8,14.3471664455881
2.84,14.3485674076386
2.88,14.3514968155509
2.92,14.3543640449956
2.96,14.3555758851647
3,14.3543632951761
3.04,14.3511720556189
3.08,14.3474079040064
3.12,14.3447825145269
3.16,14.344438881595
3.2,14.3463536899546
3.24,14.3494160503359
3.28,14.3519441498974
3.32,14.3524975825679
3.36,14.3506405253265
3.4,14.3471194911365
3.44,14.3435070824654
3.48,14.3414411957319
3.52,14.3417622407606
3.56,14.344131196924
3.6,14.3472123883628
3.64,14.3492940636033
3.68,14.3491624104684
3.72,14.3467083626156
3.76,14.3429624095514
3.8,14.3396060354726
3.84,14.3381221412993
3.88,14.3390490971019
3.92,14.3417471191767
3.96,14.3446952768581
4,14.3462374672136
4.04,14.3454294701169
4.08,14.3424882988227
4.12,14.3386900654852
4.16,14.3357460112571
4.2,14.3349289320917
4.24,14.3364603827564
4.28,14.3394069465198
4.32,14.3421196765571
4.36,14.3430673055922
4.4,14.34159840183
4.44,14.3382530591923
4.48,14.3345069857393
4.52,14.3320315381214
4.56,14.3318614111376
4.6,14.3338985336716
4.64,14.3369492147409
4.68,14.3393135251723
4.72,14.339642013468
4.76,14.3375948307776
4.8,14.3340124368035
4.84,14.3305029264718
4.88,14.3286323003169
4.92,14.3291574333203
4.96,14.3316530841182
5,14.3347104801134
