"MotorDisp"
"Time (sec)","Linear Displacement9 (mm)"
0,140.852616249154
0.04,140.857454981033
0.08,140.87113833314
0.12,140.893768630101
0.16,140.925193707034
0.2,140.96526422053
0.24,141.013831103596
0.28,141.070744626042
0.32,141.135854698206
0.36,141.209011290225
0.4,141.29006393022
0.44,141.378861572757
0.48,141.475253188934
0.52,141.579087640059
0.56,141.69021330753
0.6,141.808478560407
0.64,141.933731955031
0.68,142.065821802099
0.72,142.204596288866
0.76,142.349903866479
0.8,142.501592974483
0.84,142.659511873098
0.88,142.823509061323
0.92,142.993433253059
0.96,143.169133036664
1,143.350457095358
1.04,143.537254373118
1.08,143.729373741164
1.12,143.92666398779
1.16,144.128974132411
1.2,144.336153299124
1.24,144.548050567381
1.28,144.764515283807
1.32,144.985397136433
1.36,145.210545916278
1.4,145.439811643832
1.44,145.673044756536
1.48,145.910095909328
1.52,146.150815926166
1.56,146.39505604232
1.6,146.642667842036
1.64,146.893503077125
1.68,147.147413810688
1.72,147.404252453035
1.76,147.663871529622
1.8,147.926123692172
1.84,148.190861868536
1.88,148.457939149141
1.92,148.727208734237
1.96,148.998524135856
2,149.271739196919
2.04,149.546707965888
2.08,149.82328479782
2.12,150.10132443249
2.16,150.38068185091
2.2,150.661212266388
2.24,150.942771253343
2.28,151.22521467642
2.32,151.50839859117
2.36,151.792179323464
2.4,152.076413438959
2.44,152.360957574369
2.48,152.645668434422
2.52,152.93040283938
2.56,153.215017626968
2.6,153.499369637173
2.64,153.783315836408
2.68,154.066713317302
2.72,154.349419242354
2.76,154.631290917669
2.8,154.912185815807
2.84,155.191961476358
2.88,155.470475505413
2.92,155.747585633099
2.96,156.023149650313
3,156.297025354045
3.04,156.569070582369
3.08,156.839143158743
3.12,157.107100768535
3.16,157.372800937666
3.2,157.636101023004
3.24,157.896858133176
3.28,158.154929127431
3.32,158.410170691629
3.36,158.662439342256
3.4,158.911591418562
3.44,159.157483143125
3.48,159.399970630872
3.52,159.638909832988
3.56,159.874156543114
3.6,160.105566422888
3.64,160.332994962106
3.68,160.556297458696
3.72,160.775329038684
3.76,160.989944610883
3.8,161.199998789453
3.84,161.405345872208
3.88,161.60583981693
3.92,161.801334192788
3.96,161.991682195509
4,162.176736709062
4.04,162.356350335747
4.08,162.53037543494
4.12,162.698664195463
4.16,162.861068667179
4.2,163.017440757337
4.24,163.167632259616
4.28,163.311494885322
4.32,163.448880263212
4.36,163.579639958642
4.4,163.703625508077
4.44,163.820688410154
4.48,163.930680099104
4.52,164.033451942336
4.56,164.128855230751
4.6,164.216741164285
4.64,164.296960884098
4.68,164.369365535706
4.72,164.433806324936
4.76,164.490134588974
4.8,164.538201882343
4.84,164.577860031945
4.88,164.608961167852
4.92,164.631357763177
4.96,164.644902665346
5,164.64944911001
